name,description
pfam_start,Pfam start
pfam_end,Pfam end
pirsf,PIRSF ID
pirsf_start,PIRSF start
pirsf_end,PIRSF end
prints,Prints ID
prints_start,Prints start
prints_end,Prints end
scanprosite,PROSITE patterns ID
scanprosite_start,PROSITE patterns start
scanprosite_end,PROSITE patterns end
pfscan,PROSITE profiles ID
pfscan_start,PROSITE profiles start
pfscan_end,PROSITE profiles end
sfld,SFLD ID
sfld_start,SFLD start
sfld_end,SFLD end
smart,SMART ID
smart_start,SMART start
smart_end,SMART end
superfamily,Superfamily ID
superfamily_start,Superfamily start
superfamily_end,Superfamily end
tigrfam,TIGRFAM ID
tigrfam_start,TIGRFAM start
tigrfam_end,TIGRFAM end
interpro,Interpro ID
interpro_short_description,Interpro Short Description
interpro_description,Interpro Description
interpro_start,Interpro start
interpro_end,Interpro end
alphafold,AFDB-ENSP mappings
alphafold_start,AFDB-ENSP mappings start
alphafold_end,AFDB-ENSP mappings end
mobidblite,MobiDB lite
mobidblite_start,MobiDB lite start
mobidblite_end,MobiDB lite end
ncoils,Coiled-coils (Ncoils)
ncoils_start,Coiled-coils (Ncoils) start
ncoils_end,Coiled-coils (Ncoils) end
phobius,Phobius
phobius_start,Phobius start
phobius_end,Phobius end
seg,Low complexity (Seg)
seg_start,Low complexity (Seg) start
seg_end,Low complexity (Seg) end
sifts_import,PDB-ENSP mappings
sifts_import_start,PDB-ENSP mappings start
sifts_import_end,PDB-ENSP mappings end
signalp,Cleavage site (Signalp)
signalp_start,Cleavage site (Signalp) start
signalp_end,Cleavage site (Signalp) end
signalp_gn,SignalP_GRAM_NEGATIVE
signalp_gn_start,SignalP_GRAM_NEGATIVE start
signalp_gn_end,SignalP_GRAM_NEGATIVE end
signalp_gp,SignalP_GRAM_POSITIVE
signalp_gp_start,SignalP_GRAM_POSITIVE start
signalp_gp_end,SignalP_GRAM_POSITIVE end
tmhmm,Transmembrane helices
tmhmm_start,Transmembrane helices start
tmhmm_end,Transmembrane helices end
